Text,Location,Latitude,Longitude,Label,Language,Language_ID
सुनामी राहत दान की बाढ़ आ गई है।,Alibag,18.6411,72.8722,2,hi,1.0
Tsunami destroys beachfront properties instantly.,Kozhikode,11.2588,75.7804,2,en,0.0
സുനാമി ഉയരുമ്പോൾ പ്രാർത്ഥിക്കുന്നു.,Port Blair,11.6234,92.7465,2,ml,2.0
നെഞ്ചൊപ്പം വെള്ളപ്പൊക്കത്തിലൂടെ നടന്നുപോകുന്ന ആളുകൾ.,Chennai,13.0827,80.2707,1,ml,2.0
सुनामी की चेतावनी देर से आने के कारण लोगों को बाढ़ प्रभावित क्षेत्रों से बचाया गया।,Thane,19.2183,72.9781,2,hi,1.0
Boats lined up as fishermen return with their fresh catch.,Kolkata,22.5726,88.3639,0,en,0.0
മാർക്കറ്റ് സ്ക്വയറിൽ തെരുവ് കലാകാരന്മാരെ കാണുന്ന കുടുംബങ്ങൾ.,Patna,25.5941,85.1376,0,ml,2.0
"विशाल लहरें अभी किनारे से टकराई हैं, लगता है सुनामी आ रही है!",Mumbai,18.975,72.8258,2,hi,1.0
Coastal villages permanently relocated after tsunami.,Vadodara,22.3072,73.1812,2,en,0.0
Friends sharing laughter at the street food festival.,Thane,19.2183,72.9781,0,en,0.0
समुद्र के बैकड्रॉप के साथ सेल्फी क्लिक करते पर्यटक।,Varkala,8.7379,76.716,0,hi,1.0
वैज्ञानिक बेहतर सुनामी मॉडल विकसित कर रहे हैं।,Bekal,12.39,75.034,2,hi,1.0
Tsunami evacuation routes being marked.,Nashik,19.9975,73.7898,2,en,0.0
உற்சாகத்துடன் காற்றாடி திருவிழாவை இளைஞர்கள் ரசிக்கிறார்கள்.,Ahmedabad,23.0225,72.5714,0,tn,3.0
Watching neighbors flee from the tsunami flood.,Kakinada,16.989,82.24,2,en,0.0
Local shops damaged severely by flood.,Bhubaneswar,20.2961,85.8245,1,en,0.0
"My village is flooding from the tsunami waves, praying for safety.",Kozhikode,11.2588,75.7804,2,en,0.0
உள்ளூர் கடைகளில் மாம்பழ சீசனை கூட்டத்தினர் ரசிக்கிறார்கள்.,Nagpur,21.1458,79.0882,0,tn,3.0
"மிகப்பெரிய அலைகள் கரையில் மோதின, சுனாமி வருவது போல் தெரிகிறது!",Mumbai,18.975,72.8258,2,tn,3.0
ഒരുമിച്ച് നദി ക്രൂയിസുകൾ ആസ്വദിക്കുന്ന കുടുംബങ്ങൾ.,Guwahati,26.1445,91.7362,0,ml,2.0
सुनामी से पूरा बंदरगाह बह गया।,Visakhapatnam,17.6868,83.2185,2,hi,1.0
വെള്ളപ്പൊക്ക നാശനഷ്ടങ്ങൾ തടയാൻ മണൽചാക്കുകൾ വിതരണം ചെയ്യുന്നു.,Darbhanga,26.1542,85.8918,1,ml,2.0
बाढ़ चेतावनी बोया लगाए जा रहे हैं।,Bhubaneswar,20.2961,85.8245,1,hi,1.0
சுனாமி குப்பைகள் கடலோர சாலைகளை மூடுகின்றன.,Rameswaram,9.2876,79.3129,2,tn,3.0
சந்தை சதுக்கத்தில் தெரு கலைஞர்களை குடும்பங்கள் பார்க்கின்றன.,Patna,25.5941,85.1376,0,tn,3.0
अंतर्राष्ट्रीय विशेषज्ञ सुनामी पुनर्प्राप्ति में सहायता कर रहे हैं।,Thiruvananthapuram,8.5241,76.9366,2,hi,1.0
Streets turned into canals overnight from flooding.,Kota,25.2138,75.8648,1,en,0.0
சுனாமி உயிர் பிழைத்தவர் ஆதரவு குழுக்கள் அமைக்கப்பட்டன.,Dehradun,30.3165,78.0322,2,tn,3.0
வெள்ளம் பரவுவதால் குடியிருப்பாளர்கள் மேட்டுப் பகுதிக்கு விரைகின்றனர்.,Indore,22.7196,75.8577,1,tn,3.0
சுனாமியில் இருந்து வரும் வெள்ளம் முழு சுற்றுப்புறங்களையும் தனிமைப்படுத்துகிறது.,Trivandrum,8.5241,76.9366,2,tn,3.0
समुद्र तट सड़क पर हवादार सवारी का आनंद लेते साइकिल चालक।,Yanam,16.7333,82.2167,0,hi,1.0
உள்ளூர் கடற்கரைக் கடைகளில் இருந்து சுற்றுலாப் பயணிகள் நினைவுப் பொருட்களை வாங்குகிறார்கள்.,Machilipatnam,16.1875,81.1389,0,tn,3.0
വെള്ളത്തിന്റെയും ഇവിടെ താമസിക്കുന്ന ആളുകളുടെയും അവസ്ഥ വഷളാകുകയാണ്.,Guwahati,26.1445,91.7362,1,ml,2.0
Tsunami washed away houses in minutes.,Kollam,8.891,76.614,2,en,0.0
തെളിഞ്ഞ ആകാശത്തിന് താഴെ ചെറിയ തിരമാലകളിൽ സർഫ് ചെയ്യുന്നവർ.,Chennai,13.0827,80.2707,0,ml,2.0
"सुनामी से पुल ढह गए, जिससे मदद बाधित हुई।",Kakinada,16.989,82.24,2,hi,1.0
சுனாமி நிவாரண நிதிகள் பாதிக்கப்பட்டவர்களுக்கு விநியோகிக்கப்பட்டன.,Kollam,8.891,76.614,2,tn,3.0
My town looks like a lake after the flood.,Patiala,30.3398,76.3869,1,en,0.0
അരക്കെട്ടോളം വെള്ളത്തിൽ കുടുങ്ങിയ കുടുംബങ്ങളെ രക്ഷാസംഘങ്ങൾ ഒഴിപ്പിക്കുന്നു.,Patna,25.5941,85.1376,1,ml,2.0
Coastal communities healing from tsunami trauma.,Cuddalore,11.75,79.75,2,en,0.0
മേളയിൽ പാവനാടകം ആസ്വദിക്കുന്ന കുട്ടികൾ.,Lucknow,26.8467,80.9462,0,ml,2.0
"Scared to step outside, flood is rising.",Nagpur,21.1458,79.0882,1,en,0.0
Flood has ruined hundreds of houses.,Ahmedabad,23.0225,72.5714,1,en,0.0
வெள்ளத்தால் பாதிக்கப்பட்டவர்களுக்கு தற்காலிக வீடுகள் ஏற்பாடு செய்யப்பட்டுள்ளன.,Beed,18.9894,75.7522,1,tn,3.0
स्टेडियम में एक साथ क्रिकेट मैच देखते परिवार।,Kanpur,26.4499,80.3319,0,hi,1.0
பள்ளிப் போட்டிகளில் மாணவர்கள் கைதட்டி உற்சாகப்படுத்துகிறார்கள்.,Chennai,13.0827,80.2707,0,tn,3.0
Countries pledging aid after flood disaster.,Thane,19.2183,72.9781,1,en,0.0
അടിയന്തര വെള്ളപ്പൊക്ക പ്രതിരോധ ഭിത്തികൾ നിർമ്മിക്കുന്നു.,Shimoga,13.9299,75.5681,1,ml,2.0
Friends playing guitar and singing together in the park.,Kanpur,26.4499,80.3319,0,en,0.0
सुनामी की उपस्थिति के कारण निकासी के आदेश दिए गए।,Kavaratti,10.5625,72.6378,2,hi,1.0
சுனாமி உயிர் பிழைத்தவர்கள் சிறந்த தயார்நிலைக்கு வாதிடுகின்றனர்.,Varkala,8.7379,76.716,2,tn,3.0
സുനാമി മുന്നറിയിപ്പുകൾ വൈകിയെത്തിയതിനാൽ വെള്ളം കയറിയ പ്രദേശങ്ങളിൽ നിന്ന് ആളുകളെ രക്ഷിച്ചു.,Thane,19.2183,72.9781,2,ml,2.0
சுனாமி மீட்புக்கு சர்வதேச நிபுணர்கள் உதவுகிறார்கள்.,Trivandrum,8.5241,76.9366,2,tn,3.0
Shoppers smiling while buying fresh fruits at the market.,Nagpur,21.1458,79.0882,0,en,0.0
सुनामी ने रातोंरात तटीय मछली उद्योग को नष्ट कर दिया।,Patiala,30.3398,76.3869,2,hi,1.0
Friends enjoying live music and street food.,Bhubaneswar,20.2961,85.8245,0,en,0.0
എല്ലാ തീരദേശ പ്രദേശങ്ങളിലും സുനാമി മുന്നറിയിപ്പ് നൽകി.,Mumbai,18.975,72.8258,2,ml,2.0
Shoppers enjoying discounts at the city shopping festival.,Patiala,30.3398,76.3869,0,en,0.0
"சுனாமி அலைகள் நிமிடங்களில் எதிர்பார்க்கப்படுகின்றன, இப்போது தஞ்சம் அடையுங்கள்.",Visakhapatnam,17.7041,83.2977,2,tn,3.0
സുനാമി തകർത്ത നഗരങ്ങളിൽ പുനർനിർമ്മാണം ആരംഭിക്കുന്നു.,Yanam,16.7333,82.2167,2,ml,2.0
சுனாமிக்குப் பிந்தைய ஆய்வுகளை விஞ்ஞானக் குழுக்கள் ஆய்வு செய்கின்றன.,Murud,18.3269,72.9639,2,tn,3.0
കിഴക്കൻ തീരത്ത് സുനാമി സാന്നിധ്യം വാർത്തകൾ സ്ഥിരീകരിക്കുന്നു.,Veraval,20.915,70.3667,2,ml,2.0
Buses carrying people out of flood zones.,Surat,21.1702,72.8311,1,en,0.0
